77,Iridium,Ir,192.217,6,9,solid,Transition Metal,0.63,1.9,2.2,8.967,22.56,2716.15,4701,25,0.131,[Xe] 6s2 4f14 5d7,2
78,Platinum,Pt,195.084,6,10,solid,Transition Metal,0.63,1.8,2.28,8.9587,21.46,2045.15,4098,32,0.133,[Xe] 6s1 4f14 5d9,1
79,Gold,Au,196.966569,6,11,solid,Transition Metal,0.85,1.8,2.54,9.2255,19.282,1337.73,3129,21,0.129,[Xe] 6s1 4f14 5d10,1
80,Mercury,Hg,200.59,6,12,liq,Transition Metal,1,1.8,2,10.4375,13.5336,234.43,630,26,0.14,[Xe] 6s2 4f14 5d10,2
81,Thallium,Tl,204.3833,6,13,solid,Metal,1.5,2.1,2.04,6.1082,11.85,577.15,1746,28,0.129,[Xe] 6s2 4f14 5d10 6p1,3
82,Lead,Pb,207.2,6,14,solid,Metal,1.2,1.8,2.33,7.4167,11.342,600.75,2022,29,0.129,[Xe] 6s2 4f14 5d10 6p2,4
83,Bismuth,Bi,208.9804,6,15,solid,Metal,1,1.6,2.02,7.2856,9.807,544.67,1837,19,0.122,[Xe] 6s2 4f14 5d10 6p3,5
84,Polonium,Po,210,6,16,solid,Metalloid,2.3,1.5,2,8.417,9.32,527.15,1235,34,,[Xe] 6s2 4f14 5d10 6p4,6
85,Astatine,At,210,6,17,solid,Noble Gas,,1.4,2.2,9.3,7,575.15,610,21,,[Xe] 6s2 4f14 5d10 6p5,7
86,Radon,Rn,222,6,18,gas,Alkali Metal,,1.3,,10.7485,0.00973,202.15,211.3,20,0.094,[Xe] 6s2 4f14 5d10 6p6,8
87,Francium,Fr,223,7,1,solid,Alkaline Earth Metal,1.8,,0.7,4.0727,1.87,300.15,950,21,,[Rn] 7s1,1
88,Radium,Ra,226,7,2,solid,Actinide,1.4,,0.9,5.2784,5.5,973.15,2010,15,,[Rn] 7s2,2
89,Actinium,Ac,227,7,3,solid,Actinide,1.1,,1.1,5.17,10.07,1323.15,3471,11,0.12,[Rn] 7s2 6d1,2
90,Thorium,Th,232.03806,7,19,solid,Actinide,0.97,,1.3,6.3067,11.72,2028.15,5061,12,0.113,[Rn] 7s2 6d2,2
91,Protactinium,Pa,231.03588,7,20,solid,Actinide,0.78,,1.5,5.89,15.37,1873.15,4300,14,,[Rn] 7s2 5f2 6d1,2
92,Uranium,U,238.02891,7,21,solid,Actinide,0.52,,1.38,6.1941,18.95,1405.15,4404,15,0.116,[Rn] 7s2 5f3 6d1,2
93,Neptunium,Np,237,7,22,artificial,Actinide,0.75,,1.36,6.2657,20.45,913.15,4273,153,,[Rn] 7s2 5f4 6d1,2
94,Plutonium,Pu,244,7,23,artificial,Actinide,0.89,,1.28,6.0262,19.84,913.15,3501,163,,[Rn] 7s2 5f6,2
95,Americium,Am,243,7,24,artificial,Actinide,0.98,,1.3,5.9738,13.69,1267.15,2880,133,,[Rn] 7s2 5f7,2
96,Curium,Cm,247,7,25,artificial,Actinide,0.97,,1.3,5.9915,13.51,1340.15,3383,133,,[Rn] 7s2 5f7 6d1,2
97,Berkelium,Bk,247,7,26,artificial,Actinide,0.95,,1.3,6.1979,14.79,1259.15,983,83,,[Rn] 7s2 5f9,2
98,Californium,Cf,251,7,27,artificial,Actinide,0.93,,1.3,6.2817,15.1,1925.15,1173,123,,[Rn] 7s2 5f10,2
99,Einsteinium,Es,252,7,28,artificial,Actinide,,,1.3,6.42,13.5,1133.15,,123,,[Rn] 7s2 5f11,2
100,Fermium,Fm,257,7,29,artificial,Actinide,,,1.3,6.5,,,,103,,[Rn] 7s2 5f12,2
101,Mendelevium,Md,258,7,30,artificial,Actinide,,,1.3,6.58,,,,33,,[Rn] 7s2 5f13,2
102,Nobelium,No,259,7,31,artificial,Actinide,,,1.3,6.65,,,,73,,[Rn] 7s2 5f14,2
103,Lawrencium,Lr,262,7,32,artificial,Actinide,,,,,,,,203,,[Rn] 7s2 5f14 7p1,3
104,Rutherfordium,Rf,261,7,4,artificial,Transactinide,,,,,18.1,,,,,[Rn] 7s2 5f14 6d2,2
